Name,Beds,Baths,Price:,Deposit,Waitlist,Available Units,Size (sq feet),Link,Apartment,Image
25th W - 2 Bed - 2 Bath A Loft,2,2,"$1,329 - $1,339",0,0,2,996,https://www.theblockwestcampus.com//Brochure/25th-W---2-Bed---2-Bath-A-Loft?siteId=6511284&fId=9218454,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760312/640x640/67760312.png
25th E - 2 Bed - 1 Bath B Loft,2,1,"$1,359",0,0,1,"1,064 - 1,118",https://www.theblockwestcampus.com//Brochure/25th-E---2-Bed---1-Bath-B-Loft?siteId=6511284&fId=9218418,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67759940/640x640/67759940.png
Pearl S - 2 Bed - 2 Bath B Loft,2,2,"$1,364 - $1,384",0,0,2,"1,240",https://www.theblockwestcampus.com//Brochure/Pearl-S---2-Bed---2-Bath-B-Loft?siteId=6511284&fId=9218522,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760957/640x640/67760957.png
Pearl N - 2 Bed - 2 Bath B Loft,2,2,"$1,389",0,0,2,"1,240",https://www.theblockwestcampus.com//Brochure/Pearl-N---2-Bed---2-Bath-B-Loft?siteId=6511284&fId=9218506,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760884/640x640/67760884.png
28th - 1 Bed - 1 Bath A,1,1,"$1,424",0,0,1,521,https://www.theblockwestcampus.com//Brochure/28th---1-Bed---1-Bath-A?siteId=6511284&fId=9218400,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67759878/640x640/67759878.png
Pearl S - Efficiency B,Studio,1,"$1,459",0,0,1,458,https://www.theblockwestcampus.com//Brochure/Pearl-S---Efficiency-B?siteId=6511284&fId=9218531,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760982/640x640/67760982.png
4 Bed - 4 Bath A,4,4,1189.00,0,0,,,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans/4-bed-4-bath-a,crest_at_pearl,https://www.americancampus.com/assets/675-crestatpearl/floorplans/Crest-at-Pearl-4-Bed-4-Bath-A-01.png?ext=.png
4 Bed - 4 Bath B,4,4,1009.00,0,0,,,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans/4-bed-4-bath-b,crest_at_pearl,https://www.americancampus.com/assets/675-crestatpearl/floorplans/Crest-at-Pearl-4-bed-4-bath-B-01.png?ext=.png
4 Bed - 4 Bath C,4,4,1029.00,0,0,,,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans/4-bed-4-bath-c,crest_at_pearl,https://www.americancampus.com/assets/675-crestatpearl/floorplans/Crest-at-Pearl-4-Bed-4-Bath-C-01.png?ext=.png
3 Bed - 3 Bath A ,3,3,1019.00,0,0,,,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans/3-bed-3-bath-a,crest_at_pearl,https://www.americancampus.com/assets/675-crestatpearl/floorplans/Crest-at-Pearl-3-Bed-3-Bath-A-01.png?ext=.png
